Beat,BeatPortion,HandRight.Y,Time
0,0.32067137809187296,-0.12,20.25
0,0.352473498233217,-0.09,20.286
0,0.3851590106007074,-0.06,20.323
0,0.4081272084805659,-0.03,20.349
0,0.4408127208480563,-0.01,20.386
0,0.4681978798586591,0.02,20.417
0,0.49646643109540833,0.05,20.449
0,0.5291519434628987,0.08,20.486
0,0.5574204946996478,0.1,20.518
0,0.5874558303886929,0.13,20.552
0,0.619257950530037,0.15,20.588
0,0.6475265017667862,0.18,20.62
0,0.671378091872791,0.2,20.647
0,0.7014134275618392,0.22,20.681
0,0.7305653710247347,0.24,20.714
0,0.7579505300353375,0.26,20.745
0,0.796819787985868,0.28,20.789
0,0.822438162544172,0.29,20.818
0,0.8515901060070675,0.31,20.851
0,0.8798586572438167,0.32,20.883
0,0.9081272084805659,0.33,20.915
0,0.9399293286219099,0.33,20.951
0,0.9690812720848087,0.34,20.984
1,0.0,0.34,21.019
0,0.03510638297872469,0.34,21.052
0,0.06914893617021403,0.33,21.084
0,0.10531914893617028,0.31,21.118
0,0.14042553191489496,0.29,21.151
0,0.1744680851063843,0.26,21.183
0,0.20851063829787367,0.23,21.215
0,0.25000000000000283,0.2,21.254
0,0.2797872340425546,0.15,21.282
0,0.31489361702127927,0.12,21.315
0,0.3531914893617024,0.08,21.351
0,0.3882978723404271,0.05,21.384
0,0.42659574468085404,,21.42
0,0.4627659574468103,-0.02,21.454
0,0.5021276595744688,-0.06,21.491
0,0.530851063829789,-0.08,21.518
0,0.5702127659574475,-0.11,21.555
0,0.6021276595744699,-0.12,21.585
0,0.6372340425531908,-0.17,21.618
0,0.6755319148936177,-0.18,21.654
0,0.7074468085106402,-0.22,21.684
0,0.7446808510638318,-0.24,21.719
0,0.7797872340425527,-0.27,21.752
0,0.8138297872340421,-0.29,21.784
0,0.8478723404255314,-0.3,21.816
0,0.8861702127659583,-0.32,21.852
0,0.921276595744683,-0.33,21.885
0,0.954255319148937,-0.34,21.916
1,,-0.34,21.959
